primary_diagnosis_id,primary_diagnosis_code,primary_diagnosis_desc
1,D16a0ed,Rate matter send follow wish thousand.
2,D4d2af7,Pay condition major item wrong team.
3,D5ded35,Risk security capital trial case particularly skill.
4,D867ce7,Gas meeting political hair fire ever should.
5,D9cfd8b,Little human Congress.
6,Da788b0,Thus show street soldier thousand.
7,Dbba4d7,Oil important last then week standard walk mission.
8,Dcc6ab7,Simple opportunity during particular.
9,De4cc46,Soon less business too debate.
10,Df9a001,Though including short start sing change effort far.
